               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03232,            0.007146,                   0,             0.85314,             0.87696,             0.88773,             0.44203,            0.036991,           0.0049702,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031264,           0.0071449,                   0,             0.88374,             0.79245,              0.8201,             0.44264,            0.036659,           0.0049964,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.031585,           0.0067013,                   0,             0.83148,             0.84906,             0.82792,             0.43111,             0.03716,           0.0050204,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030804,           0.0069619,                   0,             0.80586,             0.81132,             0.78625,             0.42131,            0.037326,           0.0050471,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029976,           0.0070577,                   0,              0.8153,             0.91626,              0.8515,             0.45683,            0.033718,           0.0050503,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030046,           0.0065685,                   0,              0.8437,             0.90566,             0.88332,             0.47107,            0.035397,           0.0048375,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029386,           0.0068196,                   0,             0.77333,             0.90124,             0.81624,             0.43775,            0.035797,           0.0049063,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.029838,           0.0068715,                   0,             0.88635,             0.88299,             0.89752,             0.47185,            0.034035,           0.0048562,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.030002,           0.0070284,                   0,             0.82005,             0.84906,             0.87815,              0.4566,            0.035774,           0.0048251,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.028644,            0.006553,                   0,             0.80939,             0.88679,             0.87166,             0.46467,            0.034843,           0.0047239,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02643,           0.0065555,                   0,             0.82433,             0.88542,             0.86629,             0.47574,            0.035651,           0.0047472,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.028828,           0.0064746,                   0,              0.8383,             0.90566,             0.87155,             0.44179,            0.035382,           0.0047431,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.027371,           0.0066239,                   0,             0.85868,             0.91727,             0.87647,             0.46499,            0.035174,           0.0048192,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.027309,           0.0065345,                   0,             0.83027,              0.9434,             0.88064,             0.47416,            0.034545,           0.0048922,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027341,           0.0065354,                   0,             0.82211,             0.92453,             0.86283,             0.45648,             0.03527,           0.0049451,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027973,           0.0064788,                   0,             0.82407,             0.90566,             0.86286,             0.48332,            0.034443,           0.0047725,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.027373,           0.0065907,                   0,             0.85329,             0.87799,             0.85063,              0.4731,            0.034065,           0.0047927,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027642,           0.0063558,                   0,             0.90365,             0.88484,             0.89675,             0.48835,            0.034045,           0.0046759,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028112,           0.0062321,                   0,             0.86094,             0.84906,             0.84047,              0.4702,            0.034069,           0.0047676,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026277,           0.0065356,                   0,             0.85062,              0.8596,             0.83895,             0.41648,            0.037477,           0.0047815,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025718,           0.0061578,                   0,             0.81818,             0.86792,             0.85885,             0.47489,            0.035269,           0.0046814,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.026901,           0.0064868,                   0,             0.75367,             0.90566,             0.85186,             0.45944,            0.036306,            0.004659,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.02687,           0.0061864,                   0,             0.80446,             0.85392,             0.83275,             0.42266,            0.036925,           0.0047443,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02529,           0.0063779,                   0,             0.77748,             0.86792,             0.83153,             0.44447,            0.037343,           0.0047999,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.026267,           0.0066758,                   0,             0.80186,             0.84001,             0.81272,             0.40172,            0.039193,           0.0048313,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.025956,           0.0060476,                   0,             0.80799,             0.84906,             0.82041,              0.4603,            0.035558,           0.0047968,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.025228,           0.0059063,                   0,             0.80969,             0.88307,             0.84343,             0.46464,            0.035845,           0.0047395,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.024681,           0.0064657,                   0,             0.82503,             0.90566,             0.87098,             0.45434,            0.036768,           0.0047463,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024765,           0.0059755,                   0,             0.79686,             0.88819,             0.83487,             0.46674,            0.036663,           0.0047031,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023819,            0.006104,                   0,              0.8031,             0.84656,             0.83337,             0.48314,            0.035434,           0.0046849,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.024591,           0.0061499,                   0,             0.81878,             0.85256,             0.85649,             0.49268,            0.035854,            0.004687,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023902,           0.0059625,                   0,             0.80587,             0.86162,             0.84017,             0.45207,            0.037456,           0.0047644,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022466,           0.0060361,                   0,             0.82402,             0.84906,             0.88035,             0.49289,            0.036125,           0.0046711,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023074,           0.0056775,                   0,             0.81541,             0.84906,             0.86829,             0.48784,            0.037135,           0.0046905,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.02239,           0.0058577,                   0,             0.83555,             0.86792,             0.88413,             0.51234,            0.035384,           0.0047128,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023048,           0.0058185,                   0,             0.86658,             0.85792,             0.88545,             0.51092,            0.036621,           0.0047402,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023506,           0.0059849,                   0,              0.8562,             0.84906,             0.89032,              0.5258,            0.035037,           0.0046749,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023356,            0.006265,                   0,             0.84611,             0.86792,             0.88387,             0.51852,            0.035904,           0.0046984,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.023541,           0.0056857,                   0,              0.8456,             0.86792,             0.88478,             0.51981,            0.034804,           0.0045974,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023288,           0.0060943,                   0,             0.86002,             0.84906,             0.88782,             0.52564,            0.034915,           0.0045672,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.022921,           0.0060971,                   0,             0.81007,             0.88522,             0.83437,             0.49815,            0.034531,           0.0046082,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021634,           0.0058282,                   0,              0.8122,             0.88679,             0.85939,              0.5005,            0.034653,           0.0046461,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021998,           0.0056485,                   0,             0.81905,             0.88679,             0.86373,             0.51153,            0.035038,           0.0046576,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021975,           0.0058871,                   0,             0.86233,             0.84906,             0.85523,             0.50606,            0.034501,           0.0046942,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022194,           0.0058809,                   0,             0.81836,             0.88679,             0.85769,             0.48473,            0.035187,           0.0047073,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.02238,           0.0059552,                   0,             0.85661,             0.81132,             0.83408,             0.48324,            0.034748,           0.0047403,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022486,           0.0058778,                   0,             0.78265,             0.88329,             0.80842,             0.47297,            0.034246,           0.0046581,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022777,           0.0055088,                   0,              0.8381,             0.88679,             0.84973,             0.47815,            0.034738,            0.004619,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021896,           0.0059822,                   0,             0.81986,             0.86792,             0.85145,             0.49152,             0.03475,            0.004611,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.021559,            0.006043,                   0,              0.8169,             0.86792,              0.8632,             0.49044,            0.035112,           0.0046534,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021162,           0.0056815,                   0,             0.83141,             0.83752,             0.86105,             0.48895,            0.034497,            0.004714,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.022128,           0.0056197,                   0,             0.81466,             0.84906,             0.84657,             0.47838,            0.035715,           0.0047372,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020835,           0.0057803,                   0,              0.7986,             0.83019,             0.83197,             0.48322,            0.035704,           0.0047301,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020878,           0.0058221,                   0,             0.81671,             0.84906,             0.82744,             0.48554,            0.035644,           0.0047261,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020728,           0.0054145,                   0,             0.79588,             0.83019,             0.81572,             0.47951,            0.035282,           0.0047312,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.02025,           0.0056881,                   0,             0.81794,              0.8477,             0.82606,             0.47624,            0.035171,           0.0047257,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.02089,           0.0056971,                   0,             0.79836,             0.83019,             0.81479,             0.47722,            0.034953,           0.0047244,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021464,            0.005611,                   0,             0.79612,             0.83019,             0.82321,             0.48427,            0.034799,           0.0047471,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.02004,           0.0055699,                   0,             0.81325,             0.84906,             0.84796,             0.48248,            0.034955,           0.0047295,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.02055,           0.0055027,                   0,             0.79783,             0.83019,             0.83962,              0.4804,            0.034896,           0.0047195,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.020288,           0.0055344,                   0,             0.81297,             0.84906,             0.84048,             0.47609,             0.03449,           0.0047207,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.019788,           0.0057433,                   0,             0.81339,             0.84906,             0.84181,             0.48063,            0.035032,           0.0047465,                   0,            0.000298,            0.000298,            0.000298
